Timestamp,Main Category,Subcategory,Product Name,Current Price,Original Price
2025-04-02 16:28:31,New Arrivals,N/A,"Bosch Series 6 Free-Standing Fridge-Freezer, 360 L","$2,220.00","$2,220.00"
2025-04-02 16:28:31,New Arrivals,N/A,"LG InstaView™ Knock Knock 4 Doors Refrigerator, 716 L","$4,399.00","$4,399.00"
2025-04-02 16:28:31,New Arrivals,N/A,"Hisense, Four Doors Refrigerator, 26 Cubic Feet, 583 L, Stainless Steel","$1,724.00","$1,724.00"
2025-04-02 16:28:31,New Arrivals,N/A,"Campomatic, Top Mount Refrigerator, 800 L, No Frost, Stainless Steel",$849.00,$849.00
2025-04-02 16:28:31,New Arrivals,N/A,"Campomatic, Top Mount Refrigerator, 22 Cubic Feet, 700 L, No Frost, Stainless Steel",$699.00,$699.00
2025-04-02 16:28:31,New Arrivals,N/A,Sharp Refrigerator 538 L No Frost Inverter Stainless Steel,$899.00,$899.00
2025-04-02 16:28:31,New Arrivals,N/A,"G Ferrari, Cigar Humidor, 250 Cigars, Mirror Design",$600.00,$600.00
2025-04-02 16:28:31,New Arrivals,N/A,"G Ferrari, Cigar Humidor, 100 Cigars, Mirror Design",$399.00,$399.00
2025-04-02 16:28:31,New Arrivals,N/A,"G Ferrari, Cigar Humidor, 400 Cigars, Stainless Steel",$999.00,$999.00
2025-04-02 16:28:31,New Arrivals,N/A,"Kumtel, Refrigerator 14 Cubic Feet, Inverter, Defrost, White",$349.00,$349.00
2025-04-02 16:28:31,New Arrivals,N/A,"Kelon, Single Door Refrigerator, 4.5 Cubic Feet, 122 L, Defrost, White",$179.00,$179.00
2025-04-02 16:28:31,New Arrivals,N/A,"Domo, Retro Fridge - Freezer, 246 L, Red","$1,029.00","$1,029.00"
2025-04-02 16:28:31,New Arrivals,N/A,"Domo, Retro Fridge - Freezer, 191 L, Wine Red",$859.00,$859.00
2025-04-02 16:28:31,New Arrivals,N/A,"Luxell, Top Mount Refrigerator, 18 Cubic Feet, Smart Dual Inverter, White",$549.00,$549.00
2025-04-02 16:28:31,New Arrivals,N/A,"Luxell, Top Mount Refrigerator, 24 Cubic Feet, Smart Dual Inverter, Inox",$599.00,$599.00
2025-04-02 16:28:31,New Arrivals,N/A,"Samsung, QLED 65Q70D Inches, 4K, 4 HDMI, 2 USB, Black","$1,199.00","$1,199.00"
2025-04-02 16:28:31,New Arrivals,N/A,"Samsung QLED Q60D 65 Inches, Smart, 2 USB, 3 HDMI, Black",$999.00,$999.00
2025-04-02 16:28:31,New Arrivals,N/A,"Samsung Crystal LED DU7000 Smart 55 Inches, 4K Ultra HD",$459.00,$459.00
2025-04-02 16:28:31,New Arrivals,N/A,Samsung QLED 55 Inch 4K Q60D Tizen OS Smart TV (2024),$719.00,$719.00
2025-04-02 16:28:31,New Arrivals,N/A,Samsung Crystal LED DU7000 50 Inches Smart 4K,$399.00,$399.00
2025-04-02 16:28:31,New Arrivals,N/A,"Samsung, LED FHD Smart TV, 43 Inches, Built-in Receiver, Black",$299.00,$299.00
2025-04-02 16:28:31,New Arrivals,N/A,LG 65 inch LG OLED AI B4 4K Smart TV 2024,"$2,199.00","$2,199.00"
2025-04-02 16:28:31,New Arrivals,N/A,"LG, LED TV, 43 Inches, Smart Full HD",$319.00,$319.00
2025-04-02 16:28:31,New Arrivals,N/A,"Campomatic, LED TV, 32 Inches, HD Ready, 3 HDMI, 2 USB Black",$99.00,$99.00
2025-04-02 16:28:31,New Arrivals,N/A,"Campomatic, Frameless LED, 75 Inches, Smart, 4K, 3 HDMI, 2 USB, Webos",$825.00,$825.00
2025-04-02 16:28:31,New Arrivals,N/A,"Campomatic, Frameless LED, 65 Inches, Smart 4K, 3 HDMI, Webos",$499.00,$499.00
2025-04-02 16:28:31,New Arrivals,N/A,"Campomatic, Frameless, LED 55 Inches, Smart 4K, 3 HDMI, Webos",$365.00,$365.00
2025-04-02 16:28:31,New Arrivals,N/A,"Campomatic Smart, 4K Framless LED TV, 85 Inches","$1,350.00","$1,350.00"
2025-04-02 16:28:31,Stand Blenders,N/A,,,
