Keyword,Count
usd,232
cart,51
sold,50
add,47
default,38
title,38
hair,30
accessories,25
smart,20
storage,15
gaming,15
laptops,15
air,15
care,15
cameras,14
home,13
kitchen,12
ware,12
samsung,12
vacuums,12
