Keyword,Count
home,85
black,53
audio,52
inch,38
vacuum,34
electronics,34
sony,33
cigar,33
appliances,30
white,30
makers,28
office,27
music,26
cleaners,25
accessories,25
food,24
care,24
living,23
samsung,22
tec,22
