Keyword,Count
usd,230
sold,50
default,37
title,37
hair,30
accessories,25
smart,16
storage,15
gaming,15
laptops,15
air,15
cameras,14
care,14
home,13
sale,13
kitchen,12
ware,12
coffee,12
samsung,12
vacuums,12
