Keyword,Count
price,290
home,82
audio,51
black,49
white,38
inch,38
vacuum,35
electronics,34
sony,33
cigar,33
makers,31
appliances,27
office,27
cleaners,25
accessories,25
music,24
care,24
living,23
food,23
tec,22
