Keyword,Count
hair,30
accessories,25
smart,20
storage,15
gaming,15
laptops,15
care,15
cameras,14
kitchen,12
ware,12
samsung,12
vacuums,12
coffee,11
food,11
audio,11
apple,10
fitness,10
sony,10
oscal,10
headphones,9
